co_cnes,resultado
6752039,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
2780038,145183092028285869634070784086308284983740379224208358846781574688061991349156420080065207861248000000000000000000
2783223,145183092028285869634070784086308284983740379224208358846781574688061991349156420080065207861248000000000000000000
2783274,145183092028285869634070784086308284983740379224208358846781574688061991349156420080065207861248000000000000000000
2741423,1885494701666050254987932260861146558230394535379329335672487982961844043495537923117729972224000000000000000000
2742306,1885494701666050254987932260861146558230394535379329335672487982961844043495537923117729972224000000000000000000
2742314,1885494701666050254987932260861146558230394535379329335672487982961844043495537923117729972224000000000000000000
2742322,1885494701666050254987932260861146558230394535379329335672487982961844043495537923117729972224000000000000000000
2742330,1885494701666050254987932260861146558230394535379329335672487982961844043495537923117729972224000000000000000000
2743248,1885494701666050254987932260861146558230394535379329335672487982961844043495537923117729972224000000000000000000
2743280,1885494701666050254987932260861146558230394535379329335672487982961844043495537923117729972224000000000000000000
5857899,1885494701666050254987932260861146558230394535379329335672487982961844043495537923117729972224000000000000000000
2620685,1885494701666050254987932260861146558230394535379329335672487982961844043495537923117729972224000000000000000000
2620693,1885494701666050254987932260861146558230394535379329335672487982961844043495537923117729972224000000000000000000
2620715,1885494701666050254987932260861146558230394535379329335672487982961844043495537923117729972224000000000000000000
2620723,1885494701666050254987932260861146558230394535379329335672487982961844043495537923117729972224000000000000000000
2620731,1885494701666050254987932260861146558230394535379329335672487982961844043495537923117729972224000000000000000000
2620758,1885494701666050254987932260861146558230394535379329335672487982961844043495537923117729972224000000000000000000
2620766,1885494701666050254987932260861146558230394535379329335672487982961844043495537923117729972224000000000000000000
2620774,1885494701666050254987932260861146558230394535379329335672487982961844043495537923117729972224000000000000000000
2620782,1885494701666050254987932260861146558230394535379329335672487982961844043495537923117729972224000000000000000000
2620790,1885494701666050254987932260861146558230394535379329335672487982961844043495537923117729972224000000000000000000
2620804,1885494701666050254987932260861146558230394535379329335672487982961844043495537923117729972224000000000000000000
2620820,1885494701666050254987932260861146558230394535379329335672487982961844043495537923117729972224000000000000000000
2620839,1885494701666050254987932260861146558230394535379329335672487982961844043495537923117729972224000000000000000000
2620847,1885494701666050254987932260861146558230394535379329335672487982961844043495537923117729972224000000000000000000
2620863,1885494701666050254987932260861146558230394535379329335672487982961844043495537923117729972224000000000000000000
2620901,1885494701666050254987932260861146558230394535379329335672487982961844043495537923117729972224000000000000000000
2620928,1885494701666050254987932260861146558230394535379329335672487982961844043495537923117729972224000000000000000000
2620944,1885494701666050254987932260861146558230394535379329335672487982961844043495537923117729972224000000000000000000
2620952,1885494701666050254987932260861146558230394535379329335672487982961844043495537923117729972224000000000000000000
2649616,1885494701666050254987932260861146558230394535379329335672487982961844043495537923117729972224000000000000000000
